,City Name,latitude,longitude,temperature,humidity,windspeed,cloudiness,country,date
345,gornopravdinsk,60.05,69.9,3.01,88,4.83,78,RU,1600815367
346,touros,-5.2,-35.46,25.0,83,3.1,20,BR,1600815146
347,erzin,36.96,36.2,26.67,81,0.33,17,TR,1600815367
348,el sauzal,31.9,-116.68,25.15,51,3.91,15,MX,1600815367
349,turukhansk,65.82,87.98,7.46,80,4.86,100,RU,1600815367
350,la asuncion,11.03,-63.86,27.96,84,5.01,73,VE,1600815367
351,vyazemskiy,47.54,134.75,12.04,80,0.94,99,RU,1600815368
352,anadyr,64.75,177.48,4.0,80,5.0,30,RU,1600815368
353,angoche,-16.23,39.91,23.66,80,6.32,12,MZ,1600815368
354,mount isa,-20.73,139.5,20.0,60,3.1,47,AU,1600815368
355,ponta do sol,32.67,-17.1,25.0,69,1.5,20,PT,1600815090
356,nagapattinam,10.77,79.83,26.38,69,4.73,12,IN,1600815368
357,vakhrushev,48.98,142.97,12.04,75,1.04,81,RU,1600815369
358,genhe,50.78,121.52,6.51,93,1.93,100,CN,1600815369
359,zhob,31.34,69.45,21.62,23,1.02,0,PK,1600815369
360,rovaniemi,66.5,25.72,3.0,69,3.6,74,FI,1600815369
361,petropavlovsk-kamchatskiy,53.05,158.65,10.0,87,1.0,20,RU,1600815369
362,turayf,31.67,38.66,25.0,33,4.1,0,SA,1600815370
363,gua musang,4.88,101.96,23.0,92,0.45,100,MY,1600815370
364,elizabeth city,36.29,-76.25,21.0,46,4.1,1,US,1600815370
365,nome,64.5,-165.41,9.44,57,5.7,1,US,1600815370
366,kartaly,53.05,60.65,9.56,78,10.37,100,RU,1600815370
367,jacareacanga,-6.22,-57.75,27.3,71,1.5,92,BR,1600815371
368,bundibugyo,0.74,30.04,19.64,84,0.99,100,UG,1600815371
369,vigrestad,58.57,5.7,13.89,95,1.79,100,NO,1600815371
370,hami,42.8,93.45,16.05,45,2.24,0,CN,1600815371
371,maldonado,-34.67,-54.92,15.0,62,1.5,91,UY,1600815371
372,acapulco,16.86,-99.89,31.0,70,5.1,20,MX,1600815371
373,atar,20.52,-13.05,34.5,31,1.34,0,MR,1600815092
374,ekhabi,53.51,142.97,10.37,73,4.53,0,RU,1600815372
375,saint-joseph,-21.37,55.62,18.0,59,3.1,21,RE,1600815372
376,gigmoto,13.78,124.39,27.48,77,0.91,98,PH,1600815372
377,angol,-37.8,-72.72,10.91,74,2.82,46,CL,1600815372
378,sabang,5.89,95.32,28.39,74,2.17,100,ID,1600815373
379,antigonish,45.62,-62.0,14.44,97,2.24,100,CA,1600815373
380,blairmore,49.6,-114.44,19.0,62,1.5,99,CA,1600815373
381,maragogi,-9.01,-35.22,23.35,83,3.74,7,BR,1600815373
382,bara,10.37,10.73,23.77,86,3.27,4,NG,1600815373
383,vanavara,60.34,102.28,3.02,93,1.43,6,RU,1600815374
384,lasa,46.62,10.7,14.0,100,2.1,75,IT,1600815374
